time,base rev,pair1,pair2
2014/1/2 16:00,-0.35,0,0
2014/1/3 16:00,-1.68,0,0
2014/1/6 16:00,-3.92,0,0
2014/1/7 16:00,-3.95,0,0
2014/1/8 16:00,-3.78,0,0
2014/1/9 16:00,-4.63,0,0
2014/1/10 16:00,-5.37,0,2.59
2014/1/13 16:00,-5.85,0,0.62
2014/1/14 16:00,-5.03,0,8.8
2014/1/15 16:00,-5.2,0,8.47
2014/1/16 16:00,-5.07,0,6.51
2014/1/17 16:00,-6.5,0,3.24
2014/1/20 16:00,-7.04,0,6.51
2014/1/21 16:00,-6.12,0,5.86
2014/1/22 16:00,-3.7,0,7.82
2014/1/23 16:00,-4.21,0,7.16
2014/1/24 16:00,-3.62,0,7.82
2014/1/27 16:00,-4.9,0,5.2
2014/1/28 16:00,-4.73,0,5.86
2014/1/29 16:00,-4.39,0,5.86
2014/1/30 16:00,-5.48,0,8.15
2014/2/7 16:00,-5.04,0,10.11
2014/2/10 16:00,-2.68,0,13.05
2014/2/11 16:00,-1.91,0,12.07
2014/2/12 16:00,-1.66,0,12.72
2014/2/13 16:00,-2.17,0,23.84
2014/2/14 16:00,-1.48,0,21.45
2014/2/17 16:00,-0.79,0,21.34
2014/2/18 16:00,-2.04,0,19.15
2014/2/19 16:00,-0.92,0,21.34
2014/2/20 16:00,-1.83,0,19.5
2014/2/21 16:00,-2.82,0,19.15
2014/2/24 16:00,-4.96,0,16.39
2014/2/25 16:00,-7.39,0,14.78
2014/2/26 16:00,-7.15,0,15.7
2014/2/27 16:00,-7.55,0,15.7
2014/2/28 16:00,-6.48,0,14.67
2014/3/3 16:00,-5.99,0,13.4
2014/3/4 16:00,-6.26,0,12.6
2014/3/5 16:00,-7.13,0,11.22
2014/3/6 16:00,-6.71,0,12.37
2014/3/7 16:00,-6.94,0,11.79
2014/3/10 16:00,-9.97,0,9.38
2014/3/11 16:00,-9.5,0,9.61
2014/3/12 16:00,-9.27,0,10.99
2014/3/13 16:00,-8.14,0,11.68
2014/3/14 16:00,-8.89,0,10.41
2014/3/17 16:00,-8.03,0,10.76
2014/3/18 16:00,-8.24,0,10.76
2014/3/19 16:00,-8.98,0,10.3
2014/3/20 16:00,-10.43,0,9.26
2014/3/21 16:00,-7.35,0,13.63
2014/3/24 16:00,-6.59,0,13.63
2014/3/25 16:00,-6.68,0,13.06
2014/3/26 16:00,-6.82,0,13.17
2014/3/27 16:00,-7.48,0,13.06
2014/3/28 16:00,-7.64,0,13.86
2014/3/31 16:00,-7.89,0,13.4
2014/4/1 16:00,-7.16,0,14.09
2014/4/2 16:00,-6.41,0,15.13
2014/4/3 16:00,-7.08,0,14.09
2014/4/4 16:00,-6.2,0,14.9
2014/4/8 16:00,-3.98,0,18.23
2014/4/9 16:00,-3.92,0,17.54
2014/4/10 16:00,-2.41,0,20.19
2014/4/11 16:00,-2.55,0,19.96
2014/4/14 16:00,-2.64,0,19.04
2014/4/15 16:00,-4.32,0,16.16
2014/4/16 16:00,-4.18,0,16.74
2014/4/17 16:00,-4.52,0,16.51
2014/4/18 16:00,-4.53,0,15.59
2014/4/21 16:00,-6.13,0,13.63
2014/4/22 16:00,-5.72,0,14.78
2014/4/23 16:00,-5.81,0,14.67
2014/4/24 16:00,-5.99,0,15.36
2014/4/25 16:00,-6.96,0,16.28
2014/4/28 16:00,-8.37,0,16.16
2014/4/29 16:00,-7.36,0,16.74
2014/4/30 16:00,-7.35,0,15.82
2014/5/5 16:00,-7.45,0,14.78
2014/5/6 16:00,-7.41,0,13.98
2014/5/7 16:00,-8.27,0,13.86
2014/5/8 16:00,-8.35,0,14.21
2014/5/9 16:00,-8.42,0,14.44
2014/5/12 16:00,-6.44,0,15.82
2014/5/13 16:00,-6.66,0,15.36
2014/5/14 16:00,-6.77,0,15.36
2014/5/15 16:00,-7.98,0,15.24
2014/5/16 16:00,-7.9,0,15.82
2014/5/19 16:00,-9.22,0,13.86
2014/5/20 16:00,-9.2,0,14.09
2014/5/21 16:00,-8.33,0,14.9
2014/5/22 16:00,-8.55,0,15.01
2014/5/23 16:00,-7.79,0,16.28
2014/5/26 16:00,-7.47,0,16.39
2014/5/27 16:00,-7.84,0,16.74
2014/5/28 16:00,-6.9,0,17.77
2014/5/29 16:00,-7.51,0,17.2
2014/5/30 16:00,-7.45,0,17.2
2014/6/3 16:00,-7.73,0,17.54
2014/6/4 16:00,-8.66,0,16.62
2014/6/5 16:00,-7.7,0,17.31
2014/6/6 16:00,-8.38,0,15.47
2014/6/9 16:00,-8.4,0,15.47
2014/6/10 16:00,-7.24,0,17.2
2014/6/11 16:00,-7.26,0,16.85
2014/6/12 16:00,-7.58,0,16.28
2014/6/13 16:00,-6.6,0,18
2014/6/16 16:00,-5.93,0,19.96
2014/6/17 16:00,-6.88,0,19.15
2014/6/18 16:00,-7.29,0,18.35
2014/6/19 16:00,-8.72,0,17.66
2014/6/20 16:00,-8.3,0,17.89
2014/6/23 16:00,-8.41,-0.86,16.62
2014/6/24 16:00,-7.95,-1.33,17.54
2014/6/25 16:00,-8.44,-2.45,17.08
2014/6/26 16:00,-7.77,-1.27,18.23
2014/6/27 16:00,-7.72,-1.33,17.54
2014/6/30 16:00,-7.08,-1.45,18.23
2014/7/1 16:00,-7.1,1.56,18.12
2014/7/2 16:00,-6.83,2.09,18.46
2014/7/3 16:00,-6.43,1.5,19.38
2014/7/4 16:00,-6.49,1.56,19.38
2014/7/7 16:00,-6.6,3.1,19.15
2014/7/8 16:00,-6.42,4.51,19.73
2014/7/9 16:00,-7.78,2.27,18.23
2014/7/10 16:00,-8.03,1.27,18.46
2014/7/11 16:00,-7.81,1.33,17.63
2014/7/14 16:00,-6.79,1.62,18.35
2014/7/15 16:00,-6.65,-0.56,18.72
2014/7/16 16:00,-6.83,-1.33,18.84
2014/7/17 16:00,-7.42,-1.56,18.23
2014/7/18 16:00,-7.12,-0.91,18.84
2014/7/21 16:00,-7.03,-1.68,19.08
2014/7/22 16:00,-5.89,-0.91,21.14
2014/7/23 16:00,-5.67,-1.92,22.22
2014/7/24 16:00,-3.99,-2.51,25.49
2014/7/25 16:00,-2.99,-1.45,27.31
2014/7/28 16:00,-0.26,0.68,33.11
2014/7/29 16:00,0.06,1.33,33.84
2014/7/30 16:00,-0.34,1.56,33.36
2014/7/31 16:00,0.87,2.27,34.32
2014/8/1 16:00,-0.03,0.91,33.72
2014/8/4 16:00,1.96,2.15,36.5
2014/8/5 16:00,1.69,1.98,35.66
2014/8/6 16:00,1.42,5.28,33.24
2014/8/7 16:00,-0.11,4.22,30.33
2014/8/8 16:00,0.05,3.98,31.42
2014/8/11 16:00,1.52,5.28,34.45
2014/8/12 16:00,1.16,6.52,32.39
2014/8/13 16:00,1.24,9.29,31.42
2014/8/14 16:00,0.25,7.99,30.33
2014/8/15 16:00,1.31,8.53,30.94
2014/8/18 16:00,1.91,11.18,31.06
2014/8/19 16:00,1.92,10.3,30.82
2014/8/20 16:00,1.55,9.53,30.09
2014/8/21 16:00,1.04,6.81,28.64
2014/8/22 16:00,1.52,7.58,29.97
2014/8/25 16:00,0.55,8.05,28.4
2014/8/26 16:00,-0.25,5.81,28.64
2014/8/27 16:00,-0.1,5.34,28.27
2014/8/28 16:00,-0.8,7.82,27.06
2014/8/29 16:00,0.35,7.94,28.15
2014/9/1 16:00,1.09,9,27.91
2014/9/2 16:00,2.42,9.53,29.73
2014/9/3 16:00,3.38,9.59,30.82
2014/9/4 16:00,4.13,9.71,31.42
2014/9/5 16:00,5.12,9.53,32.63
2014/9/9 16:00,4.94,10.24,31.06
2014/9/10 16:00,4.39,11.71,29.97
2014/9/11 16:00,4.01,10.59,29
2014/9/12 16:00,4.65,11.18,29.73
2014/9/15 16:00,4.6,13.6,28.88
2014/9/16 16:00,2.52,9.29,28.4
2014/9/17 16:00,3.06,9.59,28.4
2014/9/18 16:00,3.37,10.3,28.27
2014/9/19 16:00,4.08,10.3,28.88
2014/9/22 16:00,2.1,10.41,25.73
2014/9/23 16:00,2.98,10.71,26.1
2014/9/24 16:00,4.8,11.89,28.27
2014/9/25 16:00,4.59,11.24,27.43
2014/9/26 16:00,4.6,9.88,26.82
2014/9/29 16:00,5.05,10.71,26.22
2014/9/30 16:00,5.19,12.24,26.1
2014/10/8 16:00,6.37,14.72,26.82
2014/10/9 16:00,6.52,14.78,26.82
2014/10/10 16:00,5.87,14.48,27.06
2014/10/13 16:00,5.36,13.6,26.46
2014/10/14 16:00,5,11.95,25.73
2014/10/15 16:00,5.74,5.1,26.46
2014/10/16 16:00,4.91,3.86,26.1
2014/10/17 16:00,4.79,2.8,25.85
2014/10/20 16:00,5.35,3.33,26.1
2014/10/21 16:00,4.44,4.22,25.85
2014/10/22 16:00,3.8,2.33,25.73
2014/10/23 16:00,2.83,0.86,26.1
2014/10/24 16:00,2.6,1.39,25.73
2014/10/27 16:00,1.67,2.86,23.31
2014/10/28 16:00,3.72,3.86,24.77
2014/10/29 16:00,5.21,3.69,25.98
2014/10/30 16:00,5.96,2.21,27.06
2014/10/31 16:00,7.65,-0.5,31.06
2014/11/3 16:00,7.83,1.5,29.73
2014/11/4 16:00,7.86,0.62,28.64
2014/11/5 16:00,7.44,1.21,27.55
2014/11/6 16:00,7.56,2.51,28.03
2014/11/7 16:00,7.39,0.86,28.27
2014/11/10 16:00,10.12,0.56,30.57
2014/11/11 16:00,9.81,-0.5,33.72
2014/11/12 16:00,11.34,0.32,33.36
2014/11/13 16:00,10.72,-0.8,33.11
2014/11/14 16:00,10.77,-0.38,32.51
2014/11/17 16:00,10.17,0.38,31.06
2014/11/18 16:00,9.07,0.91,29
