股票代码,股票名称,上市时间,股票代码,股票名称,上市时间
000001.XSHE,平安银行,1991/4/3,600109.XSHG,国金证券,1997/8/7
000002.XSHE,万科A,1991/1/29,600111.XSHG,北方稀土,1997/9/24
000063.XSHE,中兴通讯,1997/11/18,600115.XSHG,东方航空,1997/11/5
000069.XSHE,华侨城A,1997/9/10,600118.XSHG,中国卫星,1997/9/8
000100.XSHE,TCL科技,2004/1/30,600153.XSHG,建发股份,1998/6/16
000157.XSHE,中联重科,2000/10/12,600170.XSHG,上海建工,1998/6/23
000333.XSHE,美的集团,2013/9/18,600176.XSHG,中国巨石,1999/4/22
000338.XSHE,潍柴动力,2007/4/30,600177.XSHG,雅戈尔,1998/11/19
000413.XSHE,东旭光电,1996/9/25,600183.XSHG,生益科技,1998/10/28
000415.XSHE,渤海租赁,1996/7/16,600188.XSHG,兖州煤业,1998/7/1
000423.XSHE,东阿阿胶,1996/7/29,600196.XSHG,复星医药,1998/8/7
000425.XSHE,徐工机械,1996/8/28,600208.XSHG,新湖中宝,1999/6/23
000538.XSHE,云南白药,1993/12/15,600219.XSHG,南山铝业,1999/12/23
000568.XSHE,泸州老窖,1994/5/9,600221.XSHG,海航控股,1999/11/25
000596.XSHE,古井贡酒,1996/9/27,600233.XSHG,圆通速递,2000/6/8
000625.XSHE,长安汽车,1997/6/10,600271.XSHG,航天信息,2003/7/11
000627.XSHE,天茂集团,1996/11/12,600276.XSHG,恒瑞医药,2000/10/18
000629.XSHE,攀钢钒钛,1996/11/15,600297.XSHG,广汇汽车,2000/11/16
000630.XSHE,铜陵有色,1996/11/20,600299.XSHG,安迪苏,2000/4/20
000651.XSHE,格力电器,1996/11/18,600309.XSHG,万华化学,2001/1/5
000656.XSHE,金科股份,1996/11/28,600332.XSHG,白云山,2001/2/6
000661.XSHE,长春高新,1996/12/18,600340.XSHG,华夏幸福,2003/12/30
000671.XSHE,阳光城,1996/12/18,600346.XSHG,恒力石化,2001/8/20
000703.XSHE,恒逸石化,1997/3/28,600352.XSHG,浙江龙盛,2003/8/1
000709.XSHE,河钢股份,1997/4/16,600362.XSHG,江西铜业,2002/1/11
000723.XSHE,美锦能源,1997/5/15,600369.XSHG,西南证券,2001/1/9
000725.XSHE,京东方A,2001/1/12,600372.XSHG,中航电子,2001/7/6
000728.XSHE,国元证券,1997/6/16,600383.XSHG,金地集团,2001/4/12
000768.XSHE,中航飞机,1997/6/26,600390.XSHG,五矿资本,2001/1/15
000776.XSHE,广发证券,1997/6/11,600398.XSHG,海澜之家,2000/12/28
000783.XSHE,长江证券,1997/7/31,600406.XSHG,国电南瑞,2003/10/16
000786.XSHE,北新建材,1997/6/6,600436.XSHG,片仔癀,2003/6/16
000858.XSHE,五粮液,1998/4/27,600438.XSHG,通威股份,2004/3/2
000876.XSHE,新希望,1998/3/11,600482.XSHG,中国动力,2004/7/14
000895.XSHE,双汇发展,1998/12/10,600487.XSHG,亨通光电,2003/8/22
000898.XSHE,鞍钢股份,1997/12/25,600489.XSHG,中金黄金,2003/8/14
000938.XSHE,紫光股份,1999/11/4,600498.XSHG,烽火通信,2001/8/23
000961.XSHE,中南建设,2000/3/1,600516.XSHG,方大炭素,2002/8/30
000963.XSHE,华东医药,2000/1/27,600519.XSHG,贵州茅台,2001/8/27
002001.XSHE,新和成,2004/6/25,600522.XSHG,中天科技,2002/10/24
002007.XSHE,华兰生物,2004/6/25,600535.XSHG,天士力,2002/8/23
002008.XSHE,大族激光,2004/6/25,600547.XSHG,山东黄金,2003/8/28
002010.XSHE,传化智联,2004/6/29,600566.XSHG,济川药业,2001/8/22
